Japanese;UK English;French;German;
"方向を示す記号のようなものがある";"There appear to be markings that indicate
specific directions.";"Des symboles indiquent les directions.";"Dort sind Zeichen, welche
Richtungen anzugeben scheinen.";
"・・・・壊れている";"It's broken...";"... brisé.";"Kaputt...";
"う～ん、実によい風ぢゃ！";"Yep! That's a miiiiiighty nice breeze!";"Hé, pas mal, ce Vent!";"Wirklich ein mustergültiger Wind!";
"ワシの名前は　フーチン
風の神様ぢゃよ

お前は、新しい風使いぢゃな？";"The name's Zephos.
I'm the god of winds.


So, you're the new Wind Waker, are you?";"Je m'appelle Zephos. 
Je suis le Dieu du Vent.


Tu es le nouveau Maître du Vent?";"Gestatten, Zephos,
meines Zeichens Gott des Windes!


Bist du der neue Meister des Windes?";
"初めてにしては
なかなか、よい風カンをしておる
気に入ったぞ！";"Great, great. For a beginner, you've got a
nice wind-sense about you.
I like you, kid!";"Pour un essai, c'est un coup de maître!
Tu as fait souffler un Vent très correct.
Tu me plais bien, l'ami.";"Für dein erstes Mal zeigst du aber
schon beachtliches Wind-Verständnis!
Junge, du gefällst mir!";
"お前が今、修得した唄は
風の吹く方向を
自在にコントロールできる唄ぢゃ";"That tune you just picked up?
Well, it gives you control over the direction
the wind blows.";"La mélodie que tu viens de jouer te permet 
de contrôler la direction du Vent.";"Das Lied, das du soeben erlernt hast,
ermöglicht es dir, die Richtung des Windes
nach Lust und Laune zu verändern!";
"風は、使い方次第で
よいものにもなれば、悪いものにもなる";"Depending on how it's used, wind can be a
good thing...or a very bad thing. You want
an example of it being a bad thing, then
you should see my brother.";"Selon la manière dont on l'utilise,
le Vent peut être un vrai miracle 
ou une véritable malédiction.";"Der Wind kann je nach Verwendung
für gute, aber auch für böse Zwecke
eingesetzt werden...";
"悲しいことに、ワシの弟　ライチンは
自分の石碑が壊されたことに腹を立て

海の上で竜巻を起こして
人々を苦しめているらしいのぢゃ";"It saddens me to say that my brother,
Cyclos, is miffed about his monument here
being broken, and now he spends his time
creating cyclones to torment people with.";"Par malheur, la stèle de mon frère Cyclos a
été brisée et il est très en colère.


Il paraît qu'il provoque des Tornades
sur la mer et qu'il importune tout le monde.";"Beschämenderweise verlor mein
Bruder Cyclos die Beherrschung,
als jemand sein Denkmal zerstört hat.

Daher lässt er nun auf hoher See einen
furchtbaren Wirbelsturm toben,
der die Seefahrer in Gefahr bringt.";
"海の上で竜巻に出会ったら
ちょっと、弟をこらしめてやってくれ

たのんだぞ！";"So if you encounter any cyclones at sea,
chastise my brother for me, will you?


And THAT...is my request for you!";"Si tu vois une Tornade au-dessus des flots, 
corrige donc mon frère!


Tu me rendras service!!!";"Solltest du auf See also auf seinen
Wirbelsturm treffen, dann bring meinen
Bruder doch bitte wieder zur Vernunft!

Möge der Wind mit dir sein, Junge!";
"オマエ、いい腕してるな！";"That's a heck of an arm you've got there!";"Eh bien!
Tu es habile, dis-moi!";"Wirklich imponierend, Junge!";
"オレ様の動きを見切ったのは
オマエが初めてだ！";"And what an eye! No one's ever been able
to spot me in there before now!";"Jusqu'ici, personne n'avait résisté
à ma force!";"Du bist der Erste, der in der
Lage ist, meine sturmschnellen
Bewegungen zu durchschauen!";
"さては、かなりの風使いと見た！";"You obviously have mastery of the air.
And now that we've established that you're
quite the Wind Waker...";"J'ai vu que tu savais contrôler le Vent...";"Und wie ich sehe,
bist du ein wahrer Meister des Windes!";
"ならば、この動きは見切れるかな？";"Let's see if you can handle this!";"Alors peux-tu utiliser ceci?";"Aber bist du auch in der Lage,
diesen Bewegungsablauf zu durchschauen?";
"へん！　どうした？
やっぱり、オレ様の動きには
ついてこれねえか
しかたねえ、もう１回見せてやるぜ！";"Bah! What's wrong? So! You can't keep up
with marvelous me after all, can you?
Oh, all right! Fine! I'll show it to
you one more time!";"Tiens, tiens... Bizarre...
Mais il est vrai que je ne me laisse pas
manœuvrer par n'importe qui!

Regarde bien, je te montre encore une fois.";"Na so was! Sind meine schnellen
Bewegungen also doch zu stürmisch
für dich?

Ich gebe dir noch eine Chance!";
"やるー！


オマエみたいな風使いに使ってもらえば
オレ様の竜巻ちゃんも、
しあわせってもんだぜ";"Waaaaa-hoooooooooooooo!



In the hands of a Wind Waker like you,
my adorable little cyclones will be as
happy as can be!";"Bravo!



Mes Tornades auront plaisir à être au
service d'un Maître du Vent tel que toi!";"Wirklich imponierend!



Ich bin mir sicher, mein kleines
Wirbelstürmchen wird bei einem
solchen Meister des Windes wie dir
bestens aufgehoben sein!";
"大海原を風のように移動したかったら
竜巻ちゃんをうまく使うんだな！";"If you need to move like the wind over the
ocean deeps, just call on my cyclones!";"Utilise ces Tornades quand tu voudras
traverser les mers à la vitesse du Vent!";"Wenn du also schnell wie der Wind das
große, weite Meer überqueren willst,
mach dir mein kleines Wirbelstürmchen
zu Nutze!";
"さてと、オレ様は家に帰るとするか！
じゃあな、あばよ！";"Well, I guess I'll head for home now!
See you on down the road!";"Allez, moi je rentre à la maison!
A un de ces jours!";"Tja, ich mach mich wohl besser
auf den Weg nach Hause!
Möge der Wind mit dir sein, Junge!";
"神を恐れぬ、おろかな人間どもよ！
風の神　ライチン様の怒りの竜巻に乗って
海の果てに飛んでいけ！";"Foolish creature who does not fear the
gods! To the end of the sea with you!
Let the winds of Cyclos's wrath blow
you away!!!";"Cessez d'importuner les Dieux, pitoyables
êtres humains!
Ou les Tornades du furieux Cyclos vous
enverront à l'autre bout des mers!";"Dreistes Menschlein, das du es wagst,
dich unverfroren einem Gott zu nähern!


Spüre den Zorn von Cyclos, des Gottes
des Windes und sei hinfort getragen
von meinem mächtigen Wirbelsturm!";
"[Link]さん！";"[Link]!";"[Link]!";"[Link]!";
"コモリ様、ホラッ？";"Well, Prince Komali? Don't you have
something you want to say?";"Scaff?...";"Na, willst du ihm nicht
etwas sagen, Komori?";
"メドリから聞いたよ・・・


[Link]・・・ありがとう！
うたぐって、ゴメンなさい";"Um, I heard everything from Medli...



[Link]... Thank you so much!
I'm sorry I mistrusted you!";"Médolie m'a tout raconté.



Merci beaucoup, [Link]!
Pardon d'avoir douté de toi.";"Medolie hat mir alles erzählt...



[Link]... Danke!
Es tut mir Leid,
dass ich so gemein zu dir war.";
"ボクも、[Link]　みたいに
なれるだろうか・・・・？";"I hope I can be like you someday,
[Link].";"J'espère que j'aurai un jour ton courage...";"Ob ich eines Tages auch so mutig
werde wie du, [Link]...?";
"もちろんですとも！
ねっ、[Link]さん！";"You will, Komali! I just know it!
Right, [Link]?";"Mais bien sûr!
N'est-ce pas, [Link]?";"Aber natürlich!
Nicht wahr, [Link]!";
"[Link]　コレ！";"So, [Link]? ...Here!";"Tiens, [Link]!";"[Link]! Hier!";
"[Link]に、
持っててほしいんだ！";"I want you to take this, [Link]!";"Je veux que tu prennes ceci.";"Ich will, dass du sie bekommst,
[Link]!";
"ボクが、イヤなことから逃げない
勇気を持つためにも！";"Giving you the thing I value most will
give me the courage I need to stand up to
bad things!";"Cela m'aidera à ne plus fuir 
et à me montrer courageux.";"Und ich hoffe, dass ich bald
den Mut haben werde, nicht mehr
vor Herausforderungen wegzulaufen!";
"ヴァルー様も、[Link]さんに
感謝していますよ";"The great Valoo is grateful to you,
[Link].";"Le vénérable Valoo te remercie aussi,
[Link]!";"Der ehrenwerte Valoo möchte dir auch
seinen Dank aussprechen, [Link]!";
"ユウシャヨ　カンシャスル
ユウシャヨ　カゼノカミノ
カゼヲ　アヤツレ";"O Hero! Thank you!
O Hero! Use the wind god's wind!";"Merci, Héros.
Utilise au mieux la brise 
du Dieu du Vent.";"Du hast meinen Dank, Held!
Nutze die Kraft des Gottes des
Windes, nämlich den Wind selbst,
weise und mit Geschick, Held!";
"風の神の・・・風をあやつれ・・？


って、言っています
どういう意味でしょう？";"Use the wind god's...wind?



That's what he said, but I don't understand.
I wonder what it means?";"Utilise la brise du Dieu du Vent...?



Ce sont ses mots, mais que veut-il dire?";"Nutze den Wind, die Kraft
des Gottes des Windes, weise...?


Was meint der ehrenwerte Valoo nur damit?";
"風の神って・・・
この先の洞窟の
お社の神様のことでしょうか・・・？";"The wind god's wind... I wonder if what
he's talking about has anything to do with
the Wind Shrine that's through that tunnel...";"Sans doute veut-il parler du Dieu du
Sanctuaire du Vent?";"Gott des Windes...
Meint er damit vielleicht den Gott
des Schreins bei der Höhle dort?";
"それに、ヴァルー様ったら
[Link]さんのこと、勇者だって
いってますよ";"Oh, I almost forgot! The great Valoo also
names you, [Link], a true hero.";"Et tu as entendu?
Il t'a appelé Héros...";"Und außerdem hat dich der ehrenwerte
Valoo "Held" genannt, [Link]!";
"たしかに、ワタシたちにとって
[Link]さんは、勇者かも
しれませんね！";"I agree with him. As far as we're concerned,
[Link], you really ARE a hero!";"Il est vrai que pour nous tu es
un véritable Héros!";"In der Tat, für uns bist du wirklich ein Held!";
"ボク、ヴァルー様の所へ行って来る！


今度は、立派な翼を持って、会いに行くよ";"Well, I'm going to go and visit Valoo!



I'll come and see you sometime_with the
best pair of wings ever!";"Je vais aller voir le vénérable Valoo.
Je reviens.


Cette fois-ci, je vais aller le voir
avec des ailes superbes.";"Ich werde mich auf den Weg
zum großen Valoo machen!


Schließlich möchte ich auch endlich
ein Paar prächtiger Flügel!";
"あっ！　コモリ様！！";"Hey! Prince Komali!";"Oh! Scaff!!!";"Warte! Komori!!!";
"[Link]さん　ありがとう


また、お会いしましょう！";"Thanks so much, [Link].



See you again someday!";"Merci pour tout, [Link]!



A très bientôt!";"Nochmals vielen Dank, [Link].



Ich hoffe, ich sehe dich bald wieder!";
"あっ、キミのこと知ってる　知ってる


ワケありで、いろんな島を冒険してるっしょ！";"Hey! I know you! Yeah!



You're the adventure guy. Sailing from
island to island. Action! Excitement! Right?";"Tiens!
Je sais qui tu es, je sais qui tu es!


Tu es ce jeune garçon qui court
les aventures d'île en île...";"Ah, ich weiß Bescheid über dich!



Du bist doch der Junge,
der aus gewissen Umständen heraus
alle möglichen Inseln bereist!";
"じゃあさ、金の羽根とか持ってない？


カノジョが～
ちょっと、欲しがってて

送ってやるって　約束しちゃったんだよね～";"So, with all the adventuring you do...
Did you happen to find a Golden Feather?


My girlfriend, she's wanted one of those
things for the longest time.


And actually, I kind of promised that I'd
send one to her...";"Tu n'aurais pas des Plumes d'Or,
par hasard?


Ma petite amie aimerait en avoir.



Je lui ai promis de lui en envoyer...";"Sag mal, dann hast du nicht vielleicht
ein paar Goldfedern dabei?


Meine Freundin hätte nämlich
gerne welche, weißt du...


Und ich hab ihr natürlich leichtfertig
versprochen, ihr welche zu schicken!";
"何で、金の羽根なんて欲しがってるか
わかんないんだけど～";"I have no idea why she wants a Golden
Feather, but you know how it is...";"Je ne sais pas pourquoi elle tient à 
avoir des Plumes d'Or...";"Ich hab ja selber keine Ahnung,
warum sie ausgerechnet Goldfedern will,
aber na ja, Frauen halt...";
